id,topic,question,answer,score,match_type,token_weights
12,pricing,"I was checking the site and couldn't find it clearly, what is the price for installing a office chair with QuickFix?","According to the announcement, users should check the help center for updates, while unrelated billing references were moved to a separate dashboard.",0.0,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,1.0"
13,pricing,How much does it cost to ship a laptop battery from Jerusalem to Eilat with QuickFix in next week for 3 units?,"Buried in the fare table, the listed price for a laptop battery from Jerusalem to Eilat with QuickFix in next week for 3 units is $89, before optional extras are added.",0.95,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
14,pricing,How much is a office chair for one person?,"A travel note compares Economy and Business prices from Jerusalem to Jerusalem, yet the example omits the final amount for one person with El Al. The same article also includes unrelated marketing text and a link to general support.",0.55,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.0,1.0,1.0"
15,pricing,How much is a laptop battery for one person?,"The paragraph continues with a warning about delays, but says that if your travel dates are flexible, the whole-month view can help find cheaper days from Haifa to Eilat, but no actual fare is listed.",0.15,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.0,1.0,1.0"
16,pricing,Can you tell me the cost of laptop battery from Tel Aviv to Eilat?,"According to the announcement, users should check the help center for updates, while unrelated billing references were moved to a separate dashboard.",0.0,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.5,1.0,1.5,1.0"
17,pricing,"I was checking the site and couldn't find it clearly, how much is a flight ticket for two passengers?","In a side note under the comparison table, it says that buried in the fare table, the listed price for a flight ticket from Jerusalem to Jerusalem with ExpressShip in next week for two passengers is $240, before optional extras are added. The same article also includes unrelated marketing text and a link to general support.",1.0,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.0,1.0,1.0"
18,pricing,What is the price for installing a office chair with QuickFix?,"A travel note compares Economy and Business prices from Israel to New York, yet the example omits the final amount for one person with QuickFix.",0.35,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,1.0"
19,pricing,What is the price for installing a flight ticket with CityCourier?,"The page does not present it as a direct answer; instead, it states that if your travel dates are flexible, the whole-month view can help find cheaper days from Israel to New York, but no actual fare is listed.",0.2,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,1.0"
20,pricing,How much does it cost to ship a printer cartridge from Jerusalem to Jerusalem with ExpressShip in two days for one person?,"A short paragraph at the bottom says that support teams may contact customers later, without giving a concrete instruction or value.",0.0,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
21,pricing,What is the price for installing a office chair with El Al?,"The page does not present it as a direct answer; instead, it states that in the pricing section, a office chair for 1 unit is shown at $240, although the paragraph also warns that holiday surcharges may be added later.",1.0,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,3.0,1.0"
22,pricing,"In short, how much does it cost to ship a wireless mouse from Haifa to New York with CityCourier in two days for 1 unit?","The paragraph continues with a warning about delays, but says that the page mentions that prices for wireless mouse routes from Haifa to New York can change by season, but it does not show the exact CityCourier fare for two days. The same article also includes unrelated marketing text and a link to general support.",0.45,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
23,pricing,How much does it cost to ship a printer cartridge from Israel to Greece with QuickFix in 24 hours for one person?,"A note in the middle of the article adds that if your travel dates are flexible, the whole-month view can help find cheaper days from Israel to Greece, but no actual fare is listed.",0.1,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
24,pricing,Can you tell me the cost of printer cartridge from Israel to Greece?,"A short paragraph at the bottom says that support teams may contact customers later, without giving a concrete instruction or value.",0.05,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0"
25,pricing,How much does it cost to ship a printer cartridge from Tel Aviv to Jerusalem with ExpressShip in 24 hours for 1 unit?,"A note in the middle of the article adds that the service note says that ExpressShip charges $89 for the printer cartridge route from Tel Aviv to Jerusalem in 24 hours, and the amount shown is for 1 unit.",0.95,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.5,1.0,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
26,pricing,How much is a wireless mouse for 3 units?,"The page mentions that prices for wireless mouse routes from Tel Aviv to Jerusalem can change by season, but it does not show the exact El Al fare for two days. The same article also includes unrelated marketing text and a link to general support.",0.55,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.0,1.0,1.0"
27,pricing,Please help: Can you tell me the cost of office chair from Jerusalem to Eilat?,"After several unrelated lines about customer service, the page says: get exclusive deals and great rates for hotels and car rentals near Eilat too, the article adds in a promotional paragraph. The same article also includes unrelated marketing text and a link to general support.",0.15,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0"
28,pricing,How much is a wireless mouse for two passengers?,"A short paragraph at the bottom says that support teams may contact customers later, without giving a concrete instruction or value.",0.0,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.0,1.0,1.0"
29,pricing,How much is a laptop battery for one person?,"Buried in the fare table, the listed price for a laptop battery from Israel to Greece with QuickFix in next week for one person is $35, before optional extras are added.",0.9,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.0,1.0,1.0"
30,pricing,How much does it cost to ship a flight ticket from Jerusalem to Eilat with CityCourier in next week for one person?,"A note in the middle of the article adds that the article says customers can check the price of a flight ticket during checkout, with no confirmed dollar amount in the sentence. The same article also includes unrelated marketing text and a link to general support.",0.55,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
31,pricing,Can you tell me the cost of wireless mouse from Haifa to Greece?,"The page does not present it as a direct answer; instead, it states that if your travel dates are flexible, the whole-month view can help find cheaper days from Haifa to Greece, but no actual fare is listed.",0.15,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0"
32,pricing,"How much does it cost to ship a printer cartridge from Tel Aviv to Greece with ExpressShip in April for 1 unit? I only need the exact answer, not a general explanation.","The article describes how seasonal demand changes customer waiting times, but it does not provide a direct answer to the requested service detail.",0.05,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.5,1.0,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
33,pricing,How much does it cost to ship a printer cartridge from Tel Aviv to Jerusalem with CityCourier in two days for 3 units?,"A note in the middle of the article adds that the service note says that CityCourier charges $240 for the printer cartridge route from Tel Aviv to Jerusalem in two days, and the amount shown is for 3 units.",0.9,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.5,1.0,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
34,pricing,Can you tell me the cost of laptop battery from Jerusalem to Eilat?,"The paragraph continues with a warning about delays, but says that the article says customers can check the price of a laptop battery during checkout, with no confirmed dollar amount in the sentence.",0.45,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0"
35,pricing,How much does it cost to ship a laptop battery from Tel Aviv to New York with QuickFix in April for 1 unit?,"After several unrelated lines about customer service, the page says: book a ticket from Tel Aviv to New York with extra peace of mind, according to the site, without naming QuickFix or giving a price.",0.25,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.5,1.0,1.5,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0"
36,pricing,What is the price for installing a wireless mouse with ExpressShip?,"The article describes how seasonal demand changes customer waiting times, but it does not provide a direct answer to the requested service detail. The same article also includes unrelated marketing text and a link to general support.",0.0,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,1.0"
37,pricing,Please help: What is the price for installing a flight ticket with QuickFix?,"In a side note under the comparison table, it says that buried in the fare table, the listed price for a flight ticket from Haifa to Jerusalem with QuickFix in two days for one person is $240, before optional extras are added. The same article also includes unrelated marketing text and a link to general support.",0.95,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,1.0"
38,pricing,What is the price for installing a printer cartridge with El Al?,"In a side note under the comparison table, it says that a travel note compares Economy and Business prices from Tel Aviv to Eilat, yet the example omits the final amount for 3 units with El Al. The same article also includes unrelated marketing text and a link to general support.",0.45,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,3.0,1.0"
39,pricing,How much is a laptop battery for two passengers?,"The paragraph continues with a warning about delays, but says that book a ticket from Israel to Eilat with extra peace of mind, according to the site, without naming CityCourier or giving a price. The same article also includes unrelated marketing text and a link to general support.",0.1,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.0,1.0,1.0"
40,pricing,What is the price for installing a printer cartridge with ExpressShip?,"According to the announcement, users should check the help center for updates, while unrelated billing references were moved to a separate dashboard.",0.05,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,1.0"
41,pricing,Can you tell me the cost of office chair from Israel to Greece?,"The page does not present it as a direct answer; instead, it states that buried in the fare table, the listed price for a office chair from Israel to Greece with ExpressShip in 24 hours for 3 units is $12, before optional extras are added.",1.0,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0"
42,pricing,"What is the price for installing a printer cartridge with QuickFix? I only need the exact answer, not a general explanation.","In a side note under the comparison table, it says that the article says customers can check the price of a printer cartridge during checkout, with no confirmed dollar amount in the sentence.",0.45,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
43,pricing,What is the price for installing a wireless mouse with El Al?,"After several unrelated lines about customer service, the page says: get exclusive deals and great rates for hotels and car rentals near Jerusalem too, the article adds in a promotional paragraph.",0.2,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,3.0,1.0"
44,pricing,Can you tell me the cost of wireless mouse from Jerusalem to Greece?,"According to the announcement, users should check the help center for updates, while unrelated billing references were moved to a separate dashboard.",0.05,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0"
45,pricing,Can you tell me the cost of office chair from Jerusalem to New York?,"A note in the middle of the article adds that buried in the fare table, the listed price for a office chair from Jerusalem to New York with El Al in two days for 3 units is $12, before optional extras are added.",0.95,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.5,1.0"
46,pricing,How much is a flight ticket for one person?,"The page does not present it as a direct answer; instead, it states that a travel note compares Economy and Business prices from Jerusalem to Eilat, yet the example omits the final amount for one person with ExpressShip. The same article also includes unrelated marketing text and a link to general support.",0.55,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.0,1.0,1.0"
47,pricing,"In short, how much does it cost to ship a flight ticket from Tel Aviv to New York with CityCourier in 24 hours for one person?","After several unrelated lines about customer service, the page says: book a ticket from Tel Aviv to New York with extra peace of mind, according to the site, without naming CityCourier or giving a price.",0.1,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.5,1.0,1.5,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
48,pricing,How much is a flight ticket for one person?,The guide spends most of its space comparing mobile app layouts and does not mention the requested product or transaction details. The same article also includes unrelated marketing text and a link to general support.,0.0,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.0,1.0,1.0"
49,pricing,How much does it cost to ship a wireless mouse from Haifa to Jerusalem with QuickFix in April for two passengers?,"The service note says that QuickFix charges $89 for the wireless mouse route from Haifa to Jerusalem in April, and the amount shown is for two passengers.",1.0,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0"
50,pricing,Can you tell me the cost of flight ticket from Israel to Greece?,"After several unrelated lines about customer service, the page says: the article says customers can check the price of a flight ticket during checkout, with no confirmed dollar amount in the sentence.",0.45,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0"
51,pricing,What is the price for installing a wireless mouse with El Al?,"Book a ticket from Jerusalem to Eilat with extra peace of mind, according to the site, without naming El Al or giving a price.",0.2,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,3.0,1.0"
52,pricing,"In short, how much is a laptop battery for 3 units?","The article describes how seasonal demand changes customer waiting times, but it does not provide a direct answer to the requested service detail. The same article also includes unrelated marketing text and a link to general support.",0.05,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.0,1.0,1.0"
53,pricing,What is the price for installing a wireless mouse with El Al?,"The service note says that El Al charges $420 for the wireless mouse route from Tel Aviv to Eilat in two days, and the amount shown is for two passengers.",0.95,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,3.0,1.0"
54,pricing,How much does it cost to ship a office chair from Tel Aviv to Eilat with ExpressShip in April for 1 unit?,"After several unrelated lines about customer service, the page says: a travel note compares Economy and Business prices from Tel Aviv to Eilat, yet the example omits the final amount for 1 unit with ExpressShip.",0.55,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.5,1.0,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0"
55,pricing,How much is a wireless mouse for two passengers?,"The page does not present it as a direct answer; instead, it states that if your travel dates are flexible, the whole-month view can help find cheaper days from Jerusalem to New York, but no actual fare is listed.",0.2,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.0,1.0,1.0"
56,pricing,Can you tell me the cost of printer cartridge from Tel Aviv to Greece?,The guide spends most of its space comparing mobile app layouts and does not mention the requested product or transaction details.,0.0,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.5,1.0,1.5,1.0"
57,pricing,"In short, can you tell me the cost of laptop battery from Israel to New York?","A note in the middle of the article adds that the service note says that CityCourier charges $12 for the laptop battery route from Israel to New York in 24 hours, and the amount shown is for one person. The same article also includes unrelated marketing text and a link to general support.",1.0,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.5,1.0"
58,pricing,What is the price for installing a printer cartridge with El Al?,"The article says customers can check the price of a printer cartridge during checkout, with no confirmed dollar amount in the sentence.",0.45,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,3.0,1.0"
59,pricing,What is the price for installing a laptop battery with El Al?,"The page does not present it as a direct answer; instead, it states that get exclusive deals and great rates for hotels and car rentals near New York too, the article adds in a promotional paragraph. The same article also includes unrelated marketing text and a link to general support.",0.15,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,3.0,1.0"
60,pricing,What is the price for installing a office chair with ExpressShip?,"In a later section, the company notes that account settings can be adjusted from the profile page, although shipment notices may still arrive separately.",0.05,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,1.0"
61,pricing,What is the price for installing a wireless mouse with CityCourier?,"After several unrelated lines about customer service, the page says: in the pricing section, a wireless mouse for one person is shown at $240, although the paragraph also warns that holiday surcharges may be added later. The same article also includes unrelated marketing text and a link to general support.",1.0,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,1.0"
62,pricing,"How much does it cost to ship a flight ticket from Jerusalem to Jerusalem with CityCourier in two days for one person? I only need the exact answer, not a general explanation.","A travel note compares Economy and Business prices from Jerusalem to Jerusalem, yet the example omits the final amount for one person with CityCourier. The same article also includes unrelated marketing text and a link to general support.",0.55,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
63,pricing,Can you tell me the cost of laptop battery from Jerusalem to Eilat?,"The paragraph continues with a warning about delays, but says that book a ticket from Jerusalem to Eilat with extra peace of mind, according to the site, without naming QuickFix or giving a price.",0.25,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0"
64,pricing,What is the price for installing a printer cartridge with El Al?,The guide spends most of its space comparing mobile app layouts and does not mention the requested product or transaction details. The same article also includes unrelated marketing text and a link to general support.,0.0,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,3.0,1.0"
65,pricing,How much is a laptop battery for one person?,"The page does not present it as a direct answer; instead, it states that buried in the fare table, the listed price for a laptop battery from Jerusalem to New York with QuickFix in April for one person is $35, before optional extras are added.",1.0,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.0,1.0,1.0"
66,pricing,How much does it cost to ship a flight ticket from Jerusalem to Jerusalem with QuickFix in 24 hours for 1 unit?,"After several unrelated lines about customer service, the page says: the page mentions that prices for flight ticket routes from Jerusalem to Jerusalem can change by season, but it does not show the exact QuickFix fare for 24 hours.",0.55,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
67,pricing,"In short, how much does it cost to ship a printer cartridge from Tel Aviv to New York with QuickFix in next week for two passengers?","In a side note under the comparison table, it says that if your travel dates are flexible, the whole-month view can help find cheaper days from Tel Aviv to New York, but no actual fare is listed. The same article also includes unrelated marketing text and a link to general support.",0.15,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.5,1.0,1.5,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
68,pricing,How much does it cost to ship a office chair from Israel to New York with ExpressShip in 24 hours for one person?,The guide spends most of its space comparing mobile app layouts and does not mention the requested product or transaction details. The same article also includes unrelated marketing text and a link to general support.,0.0,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
69,pricing,How much does it cost to ship a flight ticket from Tel Aviv to Greece with QuickFix in next week for 3 units?,"After several unrelated lines about customer service, the page says: the service note says that QuickFix charges $240 for the flight ticket route from Tel Aviv to Greece in next week, and the amount shown is for 3 units.",0.95,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.5,1.0,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
70,pricing,Can you tell me the cost of wireless mouse from Israel to Greece?,"A travel note compares Economy and Business prices from Israel to Greece, yet the example omits the final amount for two passengers with ExpressShip.",0.55,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0"
